:            obciazenie uruchomienie    :=
ceowniki  1      120          1
ceowniki  2      120          1
ceowniki  3        0          0
ceowniki  4      120          1
ceowniki  5      120          1
ceowniki  6      120          1
ceowniki  7      120          1
ceowniki  8      120          1
ceowniki  9      120          1
ceowniki  10       0          0
ceowniki  11       0          0
ceowniki  12       0          0
ceowniki  13       0          0
ceowniki  14       0          0
ceowniki  15       0          0
ceowniki  16       0          0
ceowniki  17     120          1
ceowniki  18     120          1
ceowniki  19       0          0
ceowniki  20       0          0
ceowniki  21       0          0
ceowniki  22       0          0
ceowniki  23       0          0
ceowniki  24     120          1
ceowniki  25     120          1
ceowniki  26       0          0
ceowniki  27       0          0
ceowniki  28     120          1
ceowniki  29       0          0
ceowniki  30     120          1
ceowniki  31       0          0
ceowniki  32       0          0
ceowniki  33       0          0
ceowniki  34     120          1
ceowniki  35     120          1
ceowniki  36     120          1
ceowniki  37     120          1
ceowniki  38     120          1
ceowniki  39     120          1
ceowniki  40     100          1
katowniki 1        0          0
katowniki 2        0          0
katowniki 3        0          0
katowniki 4        0          0
katowniki 5        0          0
katowniki 6        0          0
katowniki 7        0          0
katowniki 8        0          0
katowniki 9        0          0
katowniki 10       0          0
katowniki 11       0          0
katowniki 12       0          0
katowniki 13       0          0
katowniki 14       0          0
katowniki 15       0          0
katowniki 16     140          1
katowniki 17       0          0
katowniki 18       0          0
katowniki 19     140          1
katowniki 20     140          1
katowniki 21     140          1
katowniki 22     140          1
katowniki 23     140          1
katowniki 24     140          1
katowniki 25     140          1
katowniki 26     140          1
katowniki 27     140          1
katowniki 28     140          1
katowniki 29     140          1
katowniki 30     140          1
katowniki 31     140          1
katowniki 32     140          1
katowniki 33     140          1
katowniki 34     140          1
katowniki 35     140          1
katowniki 36     140          1
katowniki 37     140          1
katowniki 38     140          1
katowniki 39      60          1
katowniki 40       0          0
prety     1      200          1
prety     2      200          1
prety     3      200          1
prety     4      200          1
prety     5      200          1
prety     6      200          1
prety     7      200          1
prety     8      200          1
prety     9      200          1
prety     10     200          1
prety     11     200          1
prety     12     200          1
prety     13     200          1
prety     14     200          1
prety     15     200          1
prety     16     200          1
prety     17     200          1
prety     18     200          1
prety     19     200          1
prety     20     200          1
prety     21       0          1
prety     22       0          1
prety     23       0          1
prety     24       0          0
prety     25       0          0
prety     26       0          1
prety     27       0          1
prety     28       0          0
prety     29       0          1
prety     30       0          0
prety     31       0          1
prety     32       0          1
prety     33       0          1
prety     34       0          0
prety     35       0          0
prety     36       0          0
prety     37       0          0
prety     38       0          0
prety     39       0          0
prety     40       0          1
;

profit = 196000

:            obciazenie uruchomienie    :=
ceowniki  1      120          1
ceowniki  2      120          1
ceowniki  3        0          0
ceowniki  4      120          1
ceowniki  5      120          1
ceowniki  6      120          1
ceowniki  7      120          1
ceowniki  8      120          1
ceowniki  9      120          1
ceowniki  10       0          0
ceowniki  11       0          0
ceowniki  12       0          0
ceowniki  13       0          0
ceowniki  14       0          0
ceowniki  15       0          0
ceowniki  16       0          0
ceowniki  17     120          1
ceowniki  18     120          1
ceowniki  19       0          0
ceowniki  20       0          0
ceowniki  21       0          0
ceowniki  22       0          0
ceowniki  23       0          0
ceowniki  24     120          1
ceowniki  25     120          1
ceowniki  26       0          0
ceowniki  27       0          0
ceowniki  28     120          1
ceowniki  29       0          0
ceowniki  30     120          1
ceowniki  31       0          0
ceowniki  32       0          0
ceowniki  33       0          0
ceowniki  34     120          1
ceowniki  35     120          1
ceowniki  36     120          1
ceowniki  37     120          1
ceowniki  38     120          1
ceowniki  39     120          1
ceowniki  40     100          1
katowniki 1        0          0
katowniki 2        0          0
katowniki 3        0          0
katowniki 4        0          0
katowniki 5        0          0
katowniki 6        0          0
katowniki 7        0          0
katowniki 8        0          0
katowniki 9        0          0
katowniki 10       0          0
katowniki 11       0          0
katowniki 12       0          0
katowniki 13       0          0
katowniki 14       0          0
katowniki 15       0          0
katowniki 16     140          1
katowniki 17       0          0
katowniki 18       0          0
katowniki 19     140          1
katowniki 20     140          1
katowniki 21     140          1
katowniki 22     140          1
katowniki 23     140          1
katowniki 24     140          1
katowniki 25     140          1
katowniki 26     140          1
katowniki 27     140          1
katowniki 28     140          1
katowniki 29     140          1
katowniki 30     140          1
katowniki 31     140          1
katowniki 32     140          1
katowniki 33     140          1
katowniki 34     140          1
katowniki 35     140          1
katowniki 36     140          1
katowniki 37     140          1
katowniki 38     140          1
katowniki 39      60          1
katowniki 40       0          0
prety     1      200          1
prety     2      200          1
prety     3      200          1
prety     4      200          1
prety     5      200          1
prety     6      200          1
prety     7      200          1
prety     8      200          1
prety     9      200          1
prety     10     200          1
prety     11     200          1
prety     12     200          1
prety     13     200          1
prety     14     200          1
prety     15     200          1
prety     16     200          1
prety     17     200          1
prety     18     200          1
prety     19     200          1
prety     20     200          1
prety     21       0          1
prety     22       0          1
prety     23       0          1
prety     24       0          0
prety     25       0          0
prety     26       0          1
prety     27       0          1
prety     28       0          0
prety     29       0          1
prety     30       0          0
prety     31       0          1
prety     32       0          1
prety     33       0          1
prety     34       0          0
prety     35       0          0
prety     36       0          0
prety     37       0          0
prety     38       0          0
prety     39       0          0
prety     40       0          1
;

profit = 196000

